Feed,HDPE_wt%,LDPE_wt%,PP_wt%,Temperature_C,VRT_s,Liquid,Gas,Solid,Gasoline,Diesel,Aromatics,BTX,Wax
100% HDPE,100,0,0,450,1.0,82.8257827758789,9.782829284667969,1.5336906909942627,15.65703010559082,35.27861022949219,2.1335020065307617,1.624029517173767,53.03999328613281
100% LDPE,0,100,0,450,1.0,92.79884338378906,8.126441955566406,0.6123147010803223,20.19548225402832,51.54020309448242,1.4241598844528198,0.8107288479804993,51.26203918457031
100% PP,0,0,100,450,1.0,92.59274291992188,6.284910202026367,0.9673436284065247,21.772052764892578,45.390045166015625,0.8129759430885315,0.4356464743614197,69.22309112548828
50/50 HD/LD,50,50,0,450,1.0,85.85176849365234,14.105094909667969,1.3048468828201294,21.062015533447266,47.803489685058594,3.3991143703460693,2.0199832916259766,48.511844635009766
50/50 HD/PP,50,0,50,450,1.0,91.5683822631836,6.844171047210693,1.8992664813995361,24.372041702270508,23.962913513183594,1.2598507404327393,0.6881661415100098,67.46463012695312
50/50 LD/PP,0,50,50,450,1.0,83.34814453125,6.795185089111328,6.389019012451172,34.652427673339844,26.332202911376953,1.5454198122024536,0.9789708256721497,45.2943115234375
34/33/33 Mix,34,33,33,450,1.0,83.12528228759766,11.619964599609375,4.400300025939941,28.52876853942871,27.223194122314453,2.9719595909118652,1.511911392211914,49.36565017700195
100% HDPE,100,0,0,500,1.0,84.093017578125,13.224053382873535,0.8452517986297607,8.206212997436523,20.32125473022461,4.422802925109863,1.3983731269836426,69.64395904541016
100% LDPE,0,100,0,500,1.0,88.35555267333984,12.79289722442627,0.7968249917030334,28.263965606689453,33.25203323364258,2.0917317867279053,1.5710217952728271,48.66461944580078
100% PP,0,0,100,500,1.0,87.1657943725586,10.40474796295166,0.6609864234924316,17.892623901367188,26.588253021240234,0.9542456865310669,0.3406446576118469,59.13224792480469
50/50 HD/LD,50,50,0,500,1.0,87.06243133544922,12.168266296386719,0.642050564289093,13.530855178833008,22.541994094848633,3.568983554840088,1.194725513458252,57.462364196777344
50/50 HD/PP,50,0,50,500,1.0,92.92292022705078,6.171237468719482,0.8128856420516968,14.910209655761719,14.546348571777344,1.0667481422424316,0.29491403698921204,70.44261932373047
50/50 LD/PP,0,50,50,500,1.0,77.76531982421875,4.281158447265625,7.146146297454834,23.105249404907227,15.273141860961914,0.9936066269874573,0.43116652965545654,40.32588195800781
34/33/33 Mix,34,33,33,500,1.0,86.24079895019531,6.567880630493164,2.9693567752838135,21.321989059448242,16.449277877807617,1.670539379119873,0.5472580194473267,56.993614196777344
100% HDPE,100,0,0,600,1.0,71.82740783691406,23.5468807220459,1.0954632759094238,10.462586402893066,15.510643005371094,12.961785316467285,2.693307876586914,42.415130615234375
100% LDPE,0,100,0,600,1.0,54.57915496826172,43.084232330322266,1.2025946378707886,27.97165298461914,20.972312927246094,5.579963207244873,4.2110915184021,22.36330223083496
100% PP,0,0,100,600,1.0,41.8605842590332,51.927120208740234,1.9603021144866943,24.763263702392578,17.36455535888672,5.872196197509766,2.9590578079223633,40.989219665527344
50/50 HD/LD,50,50,0,600,1.0,73.41856384277344,24.13204574584961,0.9147233963012695,26.44748306274414,16.468509674072266,4.652283191680908,2.3376851081848145,34.15888977050781
50/50 HD/PP,50,0,50,600,1.0,76.2547378540039,17.576923370361328,1.5332839488983154,21.786697387695312,10.427800178527832,2.7066688537597656,0.8955402970314026,45.7493782043457
50/50 LD/PP,0,50,50,600,1.0,18.65062141418457,5.7310614585876465,49.85857391357422,15.824810981750488,7.8703837394714355,2.6329808235168457,1.3170393705368042,7.245344638824463
34/33/33 Mix,34,33,33,600,1.0,62.85355758666992,7.738375663757324,13.88826847076416,25.84536361694336,13.986568450927734,2.7025439739227295,1.2845697402954102,37.98411560058594
100% HDPE,100,0,0,700,1.0,40.230098724365234,54.03879928588867,1.6278958320617676,23.554363250732422,10.687950134277344,7.786822319030762,4.9185967445373535,15.860345840454102
100% LDPE,0,100,0,700,1.0,27.169395446777344,53.17955017089844,2.732131242752075,12.702644348144531,20.72529411315918,18.802448272705078,7.495273590087891,10.93147087097168
100% PP,0,0,100,700,1.0,30.676326751708984,68.31730651855469,1.9679661989212036,20.346906661987305,16.579883575439453,17.530141830444336,8.515905380249023,29.64096450805664
50/50 HD/LD,50,50,0,700,1.0,32.454261779785156,57.285030364990234,2.423964262008667,13.64443302154541,10.969338417053223,15.744027137756348,6.917228698730469,11.120004653930664
50/50 HD/PP,50,0,50,700,1.0,33.583953857421875,55.350154876708984,4.14301061630249,17.335195541381836,8.805845260620117,14.017483711242676,7.1792378425598145,22.85826873779297
50/50 LD/PP,0,50,50,700,1.0,18.497203826904297,24.881303787231445,25.78188133239746,10.918596267700195,8.04512882232666,12.068855285644531,4.777567386627197,6.783776760101318
34/33/33 Mix,34,33,33,700,1.0,29.3243408203125,30.166439056396484,17.0732421875,13.457716941833496,8.172625541687012,13.519356727600098,5.724201202392578,13.503181457519531
